Deal_ID,Month,Interest,Principal,Total_Debt_Service,Outstanding_Balance,Is_IO_Period
HRE-2024-100,2024-05-01,342142.5,37349.35,379491.85,44062650.65,False
HRE-2024-100,2024-06-01,341852.73,37639.12,379491.85,44025011.53,False
HRE-2024-100,2024-07-01,341560.71,37931.14,379491.85,43987080.39,False
HRE-2024-100,2024-08-01,341266.43,38225.42,379491.85,43948854.97,False
HRE-2024-100,2024-09-01,340969.87,38521.98,379491.85,43910332.99,False
HRE-2024-100,2024-10-01,340671.0,38820.85,379491.85,43871512.14,False
HRE-2024-100,2024-11-01,340369.82,39122.03,379491.85,43832390.11,False
HRE-2024-100,2024-12-01,340066.29,39425.56,379491.85,43792964.55,False
HRE-2024-100,2025-01-01,339760.42,39731.43,379491.85,43753233.12,False
HRE-2024-100,2025-02-01,339452.17,40039.68,379491.85,43713193.44,False
HRE-2024-100,2025-03-01,339141.53,40350.32,379491.85,43672843.12,False
HRE-2024-100,2025-04-01,338828.47,40663.38,379491.85,43632179.74,False
HRE-2024-100,2025-05-01,338512.99,40978.86,379491.85,43591200.88,False
HRE-2024-100,2025-06-01,338195.07,41296.78,379491.85,43549904.1,False
HRE-2024-100,2025-07-01,337874.67,41617.18,379491.85,43508286.92,False
HRE-2024-100,2025-08-01,337551.79,41940.06,379491.85,43466346.86,False
HRE-2024-100,2025-09-01,337226.41,42265.44,379491.85,43424081.42,False
HRE-2024-100,2025-10-01,336898.5,42593.35,379491.85,43381488.07,False
HRE-2024-100,2025-11-01,336568.04,42923.81,379491.85,43338564.26,False
HRE-2024-100,2025-12-01,336235.03,43256.82,379491.85,43295307.44,False
HRE-2024-100,2026-01-01,335899.43,43592.42,379491.85,43251715.02,False
HRE-2024-100,2026-02-01,335561.22,43930.63,379491.85,43207784.39,False
HRE-2024-100,2026-03-01,335220.39,44271.46,379491.85,43163512.93,False
HRE-2024-100,2026-04-01,334876.92,44614.93,379491.85,43118898.0,False
HRE-2024-100,2026-05-01,334530.78,44961.07,379491.85,43073936.93,False
HRE-2024-100,2026-06-01,334181.96,45309.89,379491.85,43028627.04,False
HRE-2024-100,2026-07-01,333830.43,45661.42,379491.85,42982965.62,False
HRE-2024-100,2026-08-01,333476.17,46015.68,379491.85,42936949.94,False
HRE-2024-100,2026-09-01,333119.17,46372.68,379491.85,42890577.26,False
HRE-2024-100,2026-10-01,332759.4,46732.45,379491.85,42843844.81,False
HRE-2024-100,2026-11-01,332396.83,47095.02,379491.85,42796749.79,False
HRE-2024-100,2026-12-01,332031.45,47460.4,379491.85,42749289.39,False
HRE-2024-100,2027-01-01,331663.24,47828.61,379491.85,42701460.78,False
HRE-2024-101,2024-04-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-05-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-06-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-07-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-08-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-09-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-10-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-11-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2024-12-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-01-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-02-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-03-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-04-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-05-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-06-01,52290.0,0.0,52290.0,8300000.0,True
HRE-2024-101,2025-07-01,52290.0,0.0,52290.0,8300000.0,True
