Property_ID,Deal_ID,Property_Name,Address,City,State,Asset_Type,Property_Condition,Appraised_Value,Property_Loan,Property_LTV,Cap_Rate,Total_Area_SF
HRE-2024-100-P1,HRE-2024-100,442 Jones Wall (Medical Office),442 Jones Wall,New Brian,WI,Medical Office,Below-Market,12430000,8680000,0.6984,0.0996,70817
HRE-2024-100-P2,HRE-2024-100,671 Collier Lake (Medical Office),671 Collier Lake,Lake Heather,OH,Medical Office,Stabilized,8620000,5320000,0.6168,0.0887,32591
HRE-2024-100-P3,HRE-2024-100,824 Carrie Trace (Medical Office),824 Carrie Trace,New Amanda,NC,Medical Office,Stabilized,1600000,1010000,0.634,0.0911,7753
HRE-2024-100-P4,HRE-2024-100,306 Shannon Valleys (Medical Office),306 Shannon Valleys,South Patrickmouth,TX,Medical Office,Stabilized,1600000,1050000,0.6553,0.0891,8027
HRE-2024-100-P5,HRE-2024-100,54 King Walk (Medical Office),54 King Walk,West Juliefurt,WA,Medical Office,Transitional,1000000,690000,0.6928,0.0984,7735
HRE-2024-100-P6,HRE-2024-100,725 Stephanie Junctions (Medical Office),725 Stephanie Junctions,Port Keith,CA,Medical Office,Transitional,18990000,13860000,0.7297,0.1116,134751
HRE-2024-100-P7,HRE-2024-100,708 Henry Square (Medical Office),708 Henry Square,Micheleberg,MN,Medical Office,Stabilized,8680000,5750000,0.6627,0.0907,36906
HRE-2024-100-P8,HRE-2024-100,894 Justin Track (Medical Office),894 Justin Track,North Jeremyshire,VA,Medical Office,Stabilized,11620000,7740000,0.6659,0.0919,51777
HRE-2024-101-P1,HRE-2024-101,971 Robert Locks (Medical Office),971 Robert Locks,Christopherfurt,MD,Medical Office,Stabilized,16800000,8300000,0.4938,0.0684,54680
HRE-2024-102-P1,HRE-2024-102,235 Jonathan Village (Skilled Nursing),235 Jonathan Village,Coffeyside,MD,Skilled Nursing,Stabilized,58270000,33990000,0.5834,0.1065,154245
HRE-2024-102-P2,HRE-2024-102,186 Rodriguez Heights (Skilled Nursing),186 Rodriguez Heights,New John,MN,Skilled Nursing,Stabilized,3040000,1790000,0.5873,0.1081,8072
HRE-2024-102-P3,HRE-2024-102,879 Robert Underpass (Skilled Nursing),879 Robert Underpass,Jamesfurt,TN,Skilled Nursing,Below-Market,17530000,10910000,0.6223,0.1134,89901
HRE-2024-102-P4,HRE-2024-102,994 Crystal Ports (Skilled Nursing),994 Crystal Ports,North Terrance,CO,Skilled Nursing,Stabilized,4860000,2800000,0.5753,0.1045,12786
HRE-2024-103-P1,HRE-2024-103,566 Smith Knoll (Medical Office),566 Smith Knoll,North Scott,TN,Medical Office,Stabilized,28700000,13150000,0.4582,0.061,76015
HRE-2024-104-P1,HRE-2024-104,539 Li Extensions (Senior Housing),539 Li Extensions,Jamesfurt,TN,Senior Housing,Transitional,25270000,18160000,0.7187,0.1073,146294
