Tenant_ID,Property_ID,Deal_ID,Tenant_Name,Asset_Type,Lease_Type,Lease_Start,Lease_End,Rent_PSF,Square_Feet,Annual_Rent,Expense_Reimb_PSF,Escalation_Rate
HRE-2024-100-P1-T1,HRE-2024-100-P1,HRE-2024-100,"Williams, Smith and Morse Practices",Medical Office,NNN,2022-07-17,2030-07-15,26.19,500,4884.32,3.65,0.03
HRE-2024-100-P1-T2,HRE-2024-100-P1,HRE-2024-100,Johnston-Berry Practices,Medical Office,NNN,2022-07-14,2029-07-12,21.62,38048,822743.18,2.35,0.03
HRE-2024-100-P1-T3,HRE-2024-100-P1,HRE-2024-100,"Bowman, Roberts and Sullivan Practices",Medical Office,NNN,2023-11-12,2028-11-10,19.08,21982,419508.67,2.09,0.03
HRE-2024-100-P1-T4,HRE-2024-100-P1,HRE-2024-100,Jackson-Meza Practices,Medical Office,NNN,2022-09-04,2027-09-03,25.04,2238,56051.2,3.0,0.03
HRE-2024-100-P2-T1,HRE-2024-100-P2,HRE-2024-100,Kim Inc Practices,Medical Office,NNN,2022-07-05,2032-07-02,24.65,1863,45932.35,2.34,0.03
HRE-2024-100-P2-T2,HRE-2024-100-P2,HRE-2024-100,Graham Group Practices,Medical Office,NNN,2022-07-22,2027-07-21,24.73,1875,46374.65,2.13,0.03
HRE-2024-100-P2-T3,HRE-2024-100-P2,HRE-2024-100,"Miller, Harrell and Reese Practices",Medical Office,NNN,2024-02-21,2032-02-19,25.15,3300,83028.77,3.45,0.03
HRE-2024-100-P2-T4,HRE-2024-100-P2,HRE-2024-100,Cook and Sons Practices,Medical Office,NNN,2023-10-09,2030-10-07,27.51,6189,170273.69,3.75,0.03
HRE-2024-100-P2-T5,HRE-2024-100-P2,HRE-2024-100,Dixon Inc Practices,Medical Office,NNN,2023-09-19,2026-09-18,21.47,6028,129442.77,3.2,0.03
HRE-2024-100-P2-T6,HRE-2024-100-P2,HRE-2024-100,"Hicks, Bullock and Bailey Practices",Medical Office,NNN,2023-02-15,2027-02-14,26.11,3017,78787.37,2.85,0.03
